2024-07-14 15:02:45,708 - inference - INFO - training started...
2024-07-14 15:13:56,674 - inference - INFO - training started...
2024-07-14 15:17:43,583 - inference - INFO - ADS.DE: exp profit=0.10418335955880087, MSE=0.08026989185740557
2024-07-14 15:17:55,221 - inference - INFO - AIR.DE: exp profit=0.044816004660701944, MSE=0.08164780460349311
2024-07-14 15:18:02,701 - inference - INFO - ALV.DE: exp profit=0.042358495690656736, MSE=0.030195704502838802
2024-07-14 15:18:09,626 - inference - INFO - BAS.DE: exp profit=0.10103299045021077, MSE=0.05070014311613709
2024-07-14 15:18:17,518 - inference - INFO - BAYN.DE: exp profit=0.03284277680221434, MSE=0.06219171831766357
2024-07-14 15:18:23,303 - inference - INFO - BEI.DE: exp profit=0.05236105715578566, MSE=0.01600479400738496
2024-07-14 15:18:29,237 - inference - INFO - BMW.DE: exp profit=0.0626719791004541, MSE=0.039047294926927364
2024-07-14 15:18:32,657 - inference - INFO - BNR.DE: exp profit=-0.01633072120100419, MSE=0.04424467260458322
2024-07-14 15:18:39,403 - inference - INFO - CBK.DE: exp profit=-0.050391954858862144, MSE=0.07552604523524967
2024-07-14 15:18:45,653 - inference - INFO - CON.DE: exp profit=0.09441906241930664, MSE=0.09989377173296006
2024-07-14 15:18:51,662 - inference - INFO - DBK.DE: exp profit=-0.0517547687687258, MSE=0.05843408431396368
2024-07-14 15:18:56,721 - inference - INFO - DB1.DE: exp profit=0.029576590231105516, MSE=0.011599828385319751
2024-07-14 15:19:01,747 - inference - INFO - DHL.DE: exp profit=0.008245757002610134, MSE=0.06583069909260207
2024-07-14 15:19:08,205 - inference - INFO - DTE.DE: exp profit=0.0294193671138886, MSE=0.014557419331555969
2024-07-14 15:19:14,135 - inference - INFO - EOAN.DE: exp profit=0.06247264813242852, MSE=0.03006117934133974
2024-07-14 15:19:21,540 - inference - INFO - FRE.DE: exp profit=0.09393399183642587, MSE=0.04577553733381907
2024-07-14 15:19:26,791 - inference - INFO - HNR1.DE: exp profit=0.060171211932077, MSE=0.023948137805296813
2024-07-14 15:19:33,409 - inference - INFO - HEI.DE: exp profit=0.0439623595155863, MSE=0.07159562800607507
2024-07-14 15:19:39,129 - inference - INFO - HEN3.DE: exp profit=0.040297020442932784, MSE=0.03435918252030876
2024-07-14 15:19:45,571 - inference - INFO - IFX.DE: exp profit=0.041913662002435036, MSE=0.07584040278478549
2024-07-14 15:19:51,637 - inference - INFO - MBG.DE: exp profit=0.06950964166465795, MSE=0.0727651127286833
2024-07-14 15:19:58,645 - inference - INFO - MRK.DE: exp profit=0.07794092194300128, MSE=0.03738773592427855
2024-07-14 15:20:03,488 - inference - INFO - MTX.DE: exp profit=0.09475229209911432, MSE=0.08138827535064629
2024-07-14 15:20:09,361 - inference - INFO - MUV2.DE: exp profit=0.024336188318355618, MSE=0.03069035763421709
2024-07-14 15:20:12,847 - inference - INFO - PAH3.DE: exp profit=0.007894174551203325, MSE=0.06039773773084706
2024-07-14 15:20:18,776 - inference - INFO - QIA.DE: exp profit=0.03882182767228044, MSE=0.021896465274566852
2024-07-14 15:20:24,334 - inference - INFO - RHM.DE: exp profit=0.05230675870285464, MSE=0.12002455846646336
2024-07-14 15:20:31,886 - inference - INFO - RWE.DE: exp profit=0.027839939394182587, MSE=0.023132819438755295
2024-07-14 15:20:36,972 - inference - INFO - SAP.DE: exp profit=0.0563860951087125, MSE=0.034745510309790915
2024-07-14 15:20:42,713 - inference - INFO - SRT3.DE: exp profit=0.08029898125893864, MSE=0.09912222302925604
2024-07-14 15:20:49,069 - inference - INFO - SIE.DE: exp profit=0.037584823314359694, MSE=0.051718641414727484
2024-07-14 15:20:52,523 - inference - INFO - SY1.DE: exp profit=0.0704295509855509, MSE=0.02551167934493571
2024-07-14 15:20:58,385 - inference - INFO - VOW3.DE: exp profit=0.15890229734843633, MSE=0.05813820178032225
2024-07-14 15:21:02,010 - inference - INFO - VNA.DE: exp profit=0.06952857434566327, MSE=0.05894206579512831
2024-07-14 15:21:16,043 - inference - INFO - III.L: exp profit=-0.01215270524868359, MSE=0.0685206179292026
2024-07-14 15:21:20,455 - inference - INFO - ADM.L: exp profit=0.03894840513870959, MSE=0.037898846950078995
2024-07-14 15:21:33,720 - inference - INFO - AAL.L: exp profit=0.08429823342768519, MSE=0.07625436101501816
2024-07-14 15:21:42,462 - inference - INFO - ANTO.L: exp profit=0.07200270060055547, MSE=0.07025740495124219
2024-07-14 15:21:51,604 - inference - INFO - AHT.L: exp profit=0.0770846131815082, MSE=0.07832596769458905
2024-07-14 15:21:59,317 - inference - INFO - ABF.L: exp profit=0.04987445438762739, MSE=0.055368827916806494
2024-07-14 15:22:06,198 - inference - INFO - AZN.L: exp profit=0.051047133804280526, MSE=0.014065452220958168
2024-07-14 15:22:15,437 - inference - INFO - AV.L: exp profit=0.03263821743956499, MSE=0.0487388859904216
2024-07-14 15:22:24,729 - inference - INFO - BA.L: exp profit=0.07379913998145617, MSE=0.02453691194652854
2024-07-14 15:22:35,324 - inference - INFO - BARC.L: exp profit=0.03913392925569857, MSE=0.07110667534869723
2024-07-14 15:22:44,966 - inference - INFO - BDEV.L: exp profit=0.05483967492604449, MSE=0.08291244009189491
2024-07-14 15:22:50,440 - inference - INFO - BEZ.L: exp profit=0.06898078544641786, MSE=0.0316738114161201
2024-07-14 15:22:59,505 - inference - INFO - BKG.L: exp profit=0.03572690761242668, MSE=0.03096637654409905
2024-07-14 15:23:08,145 - inference - INFO - BP.L: exp profit=0.05258262047843185, MSE=0.046619055053171786
2024-07-14 15:23:15,192 - inference - ERROR - Error in predicting BATS.L: Input X contains NaN.
SelectKBest does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values
2024-07-14 15:23:24,413 - inference - INFO - BT-A.L: exp profit=0.01105721474330507, MSE=0.07246169634657545
2024-07-14 15:23:32,592 - inference - INFO - BNZL.L: exp profit=0.05696823884749373, MSE=0.026218730705953805
2024-07-14 15:23:39,140 - inference - INFO - BRBY.L: exp profit=0.07911654067895588, MSE=0.08905103894347749
2024-07-14 15:23:46,913 - inference - INFO - CNA.L: exp profit=-0.0020213498618895263, MSE=0.10626026785670128
2024-07-14 15:23:49,635 - inference - INFO - CCH.L: exp profit=0.07592444339965168, MSE=0.06930091392160241
2024-07-14 15:23:55,566 - inference - INFO - CPG.L: exp profit=0.06189522450302364, MSE=0.043689810232806485
2024-07-14 15:24:04,102 - inference - INFO - CRDA.L: exp profit=0.08388639083643873, MSE=0.05382093419703846
2024-07-14 15:24:09,497 - inference - INFO - DCC.L: exp profit=0.02640612694765107, MSE=0.04055696145141636
2024-07-14 15:24:16,822 - inference - INFO - DGE.L: exp profit=0.04649819358430291, MSE=0.02198569375593603
2024-07-14 15:24:27,271 - inference - INFO - DPLM.L: exp profit=0.05350938282114505, MSE=0.04081236686598376
2024-07-14 15:24:32,377 - inference - INFO - ENT.L: exp profit=0.07769734919821406, MSE=0.1258407554047063
2024-07-14 15:24:38,211 - inference - INFO - EZJ.L: exp profit=1.0735132204640896e-05, MSE=0.1856233755194723
2024-07-14 15:24:41,772 - inference - INFO - EXPN.L: exp profit=0.09890017558509255, MSE=0.027015021540295003
2024-07-14 15:24:51,513 - inference - ERROR - Error in predicting FCIT.L: Input X contains NaN.
SelectKBest does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values
2024-07-14 15:24:57,478 - inference - INFO - FLTR.L: exp profit=0.045819927053336505, MSE=0.08521678318606044
